# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
96000 2.8908 729062 40.4444 27.5236 654.94 -105266 53451 2.51816 2.62822 3.52603
97000 13.3076 729285 40.4231 27.5452 654.97 -105129 53462.3 11.3526 5.27568 23.2946
98000 -17.8382 729164 40.5504 27.4513 655.04 -105258 53395.8 -47.3824 4.77459 -10.907
99000 7.57273 729133 40.4292 27.5536 654.536 -105257 53401.8 49.4354 -36.5878 9.87064
100000 -3.96209 729877 40.5084 27.5523 653.953 -105306 53452.1 -2.42118 -7.41655 -2.04854
101000 13.4141 729141 40.4809 27.5347 654.157 -105264 53483.1 -3.56752 29.1259 14.6838
102000 -2.56087 728807 40.4111 27.5673 654.211 -105278 53459.6 -1.88385 -9.81581 4.01706
103000 3.02452 728919 40.4111 27.5762 654.099 -105333 53457.6 18.7597 -7.42505 -2.26114
104000 5.51648 728557 40.4384 27.5433 654.113 -105444 53350.3 -16.7564 34.9527 -1.64686
105000 4.93891 729010 40.4273 27.5788 653.857 -105188 53438.1 1.26342 -8.43117 21.9845
106000 -7.83325 728664 40.4051 27.5607 654.335 -105277 53411.4 -12.3778 -7.28213 -3.83983
107000 4.39396 728045 40.3302 27.5534 655.169 -105242 53421 12.2477 18.9302 -17.996
108000 -6.58089 727944 40.3559 27.5765 654.112 -105127 53435.4 -6.56711 12.0545 -25.23
109000 6.71162 728442 40.4291 27.5611 653.74 -105103 53494 7.70921 -5.58179 18.0074
110000 5.41891 729828 40.4777 27.5639 654.13 -105068 53421.8 6.06033 1.73359 8.46279
111000 -0.258823 728616 40.4103 27.5571 654.296 -105046 53487.2 -20.8421 20.9223 -0.85668
112000 7.81189 728631 40.3711 27.5861 654.256 -104973 53509.9 22.8216 -2.0475 2.66154
113000 15.6612 728362 40.3845 27.5821 653.891 -105000 53473.2 20.0818 22.2689 4.63298
114000 -28.6417 729126 40.388 27.6077 653.914 -105088 53473.7 -32.0976 -30.4577 -23.3697
115000 5.42925 728652 40.3442 27.6314 653.637 -105263 53413.2 20.837 -15.4284 10.8792
116000 3.25287 729395 40.3825 27.6283 653.757 -105299 53372.1 -16.0134 27.396 -1.62401
117000 -4.89952 730305 40.4243 27.6466 653.461 -105053 53495.2 7.26741 -18.0786 -3.88734
118000 -4.3698 729849 40.5042 27.5566 653.894 -105230 53429.3 -14.0864 19.6499 -18.6729
119000 11.6255 730323 40.5413 27.5763 653.254 -105229 53423.5 -8.79814 -6.04613 49.7207
120000 -5.0689 729780 40.4584 27.5797 654.023 -105111 53442.7 -31.5444 24.8776 -8.53999
121000 4.66016 729581 40.372 27.6534 653.498 -105227 53473.4 12.6965 -31.9078 33.1918
122000 4.62189 728950 40.4864 27.5517 653.493 -105304 53423.7 20.8742 34.9681 -41.9767
123000 -16.4996 730326 40.4672 27.6194 653.431 -105184 53461.9 -17.0223 -31.4972 -0.979198
124000 6.42027 729620 40.4749 27.5785 653.643 -105278 53456.8 -7.81947 18.9198 8.16047
125000 12.3273 729416 40.4239 27.6027 653.71 -105290 53447.5 23.8174 -6.277 19.4416
126000 -18.4539 729569 40.4575 27.5911 653.58 -105291 53443.8 -21.6761 -9.57666 -24.109
127000 7.71494 728236 40.4533 27.5502 653.422 -105285 53474.9 -3.46814 25.1316 1.48132
128000 10.071 728697 40.3793 27.6171 653.446 -105400 53420.7 9.1101 -0.86768 21.9706
129000 -8.4962 728841 40.2809 27.6712 653.893 -105401 53371.5 -7.52253 -4.53137 -13.4347
130000 -8.26398 729113 40.2805 27.698 653.509 -105168 53473.8 -8.05971 -11.8002 -4.93202
131000 5.07173 728846 40.3458 27.6488 653.373 -105166 53480.6 -15.0891 15.6711 14.6332
132000 1.06304 729025 40.274 27.7011 653.465 -105349 53386.8 12.9678 6.00027 -15.779
133000 11.9331 729185 40.2712 27.7109 653.422 -105312 53411.1 0.361765 20.2798 15.1578
134000 0.938056 729804 40.2732 27.7344 653.389 -105219 53486.4 5.00382 -21.7206 19.5309
