# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
102000 -692.371 730228 39.97 26.95 677.9 -105707 53500.7 -82.3624 -9.91526 -1984.84
103000 -499.236 730228 39.97 26.95 677.9 -105731 53439.1 111.099 202.743 -1811.55
104000 -601.026 730228 39.97 26.95 677.9 -105793 53347.5 13.7039 110.176 -1926.96
105000 -628.292 730228 39.97 26.95 677.9 -105807 53432 20.6811 29.4368 -1934.99
106000 -605.231 730228 39.97 26.95 677.9 -105754 53466.5 41.5936 62.298 -1919.58
107000 -562.033 730228 39.97 26.95 677.9 -105798 53390.4 98.2513 80.4966 -1864.85
108000 -549.851 730228 39.97 26.95 677.9 -105766 53477.4 121.755 54.0702 -1825.38
109000 -697.998 730228 39.97 26.95 677.9 -105804 53434.9 -93.2121 18.1804 -2018.96
110000 -715.523 730228 39.97 26.95 677.9 -105886 53378.8 -143.878 -34.3222 -1968.37
111000 -682.276 730228 39.97 26.95 677.9 -105739 53432 -99.0478 20.4928 -1968.27
112000 -608.686 730228 39.97 26.95 677.9 -105784 53455.4 -50.9612 91.9547 -1867.05
113000 -603.06 730228 39.97 26.95 677.9 -105839 53418.9 -2.34446 49.6157 -1856.45
114000 -600.978 730228 39.97 26.95 677.9 -105731 53418.3 19.5553 68.5276 -1891.02
115000 -685.702 730228 39.97 26.95 677.9 -105730 53454.5 -64.934 13.1102 -2005.28
116000 -582.68 730228 39.97 26.95 677.9 -105922 53415.2 72.8023 98.1011 -1918.94
117000 -677.912 730228 39.97 26.95 677.9 -105769 53390.5 -33.1181 22.536 -2023.15
118000 -626.596 730228 39.97 26.95 677.9 -105828 53518.3 -4.27681 52.2168 -1927.73
119000 -610.154 730228 39.97 26.95 677.9 -105987 53368.3 -7.79785 18.5258 -1841.19
120000 -594.218 730228 39.97 26.95 677.9 -105834 53393.7 3.01058 46.1532 -1831.82
121000 -590.627 730228 39.97 26.95 677.9 -105874 53336.2 36.5548 116.873 -1925.31
122000 -549.766 730228 39.97 26.95 677.9 -105834 53466.2 86.3211 202.183 -1937.8
123000 -606.603 730228 39.97 26.95 677.9 -105642 53430.9 57.1257 36.7313 -1913.67
124000 -628.892 730228 39.97 26.95 677.9 -105751 53411.6 -17.6 45.364 -1914.44
125000 -595.639 730228 39.97 26.95 677.9 -105782 53410 -27.5404 92.5321 -1851.91
126000 -657.487 730228 39.97 26.95 677.9 -105712 53482.5 -42.255 -60.11 -1870.1
127000 -579.635 730228 39.97 26.95 677.9 -105658 53552.1 26.359 82.4098 -1847.67
128000 -610.43 730228 39.97 26.95 677.9 -105696 53466.4 -8.2331 50.5383 -1873.59
129000 -592.709 730228 39.97 26.95 677.9 -105679 53454.4 -48.2619 77.9961 -1807.86
130000 -677.418 730228 39.97 26.95 677.9 -105850 53388.9 -78.3208 -25.9033 -1928.03
131000 -708.081 730228 39.97 26.95 677.9 -105728 53415 -62.2953 -71.6289 -1990.32
132000 -680.62 730228 39.97 26.95 677.9 -105888 53460.8 -119.631 14.7389 -1936.97
133000 -656.311 730228 39.97 26.95 677.9 -106191 53415.2 -50.3605 -1.53603 -1917.04
134000 -681.228 730228 39.97 26.95 677.9 -106044 53470.3 -48.6344 47.5228 -2042.57
135000 -637.072 730228 39.97 26.95 677.9 -105952 53413.3 2.80398 62.4132 -1976.43
136000 -728.727 730228 39.97 26.95 677.9 -105831 53475 -91.9393 -5.99239 -2088.25
137000 -647.35 730228 39.97 26.95 677.9 -105890 53377.3 -30.3922 61.6739 -1973.33
138000 -582.433 730228 39.97 26.95 677.9 -105932 53374.8 17.5309 76.4452 -1841.28
